	question	choices	answer	subject	llm
140	Emaqela ezemidlalo esizwe, iiflegi,nemihobe yesizwe, kunye neeholide zesiwe zonke ziphakamisa	['ubuzwe', 'iselthariyanizim', 'i-politikhali unresti', 'ingxabano esebenzayo']	A	high_school_geography	A) ubuzwe
141	Inkqubo apho abaphambukeli bafunda ngexabiso, ulwimi, kunye nezithethe zelizwe labo elitsha ibizwa ngokuba? 	['yi-asimileyishini', 'yi-akhaltshareyishini', 'ulungelelaniso', 'yi-amalgameyishini']	B	high_school_geography	A) yi-asimileyishini
142	Yeyiphi kwezi zilandelayo engabonisa ngokuchanekileyo nangokunyanisekileyo umgama wejografi, imiyaleyo yenyani, ubungakanani benyani, indlela eyakhiwe ngayo eyinyani?	['yi-projekthi ye-Mikheyitha', 'yi-Glowubhu', 'yi-projekthi yekhonikhi', 'yi-projekthi ye- gnomonikhi']	B	high_school_geography	A) yi-projekthi ye-Mikheyitha
143	Yeyiphi kwezi zilandelayo engathi iqwalaselwe njengendawo esembindini ekwindawo ephezulu ngokusebenza?	['Yi- Winn-Dixie ivenkile yokutya', 'Idila yakwa-Mercedes-Benz', 'Ivenkile yesihlangu', 'Ugqirha wosapho']	B	high_school_geography	B) Idila yakwa-Mercedes-Benz
144	Ngomphi umntu owafundela i-jografi owabona indawo esedolophini yase-US yangonyaka wama1920 nenje-sethi yezangqa ezigxininisiweyo eziphuma ngaphandle embindini ophakathi/	['NguRostow', 'NguRavenstein', 'NguVon Thunen', 'NguBurgess']	D	high_school_geography	D) NguBurgess
145	Ukufika esikolweni kusasa, sonke sisebenzisa le nto njengomkhomba ndlela:	['I-Atlasi yendlela uRand- McNally', 'Iglobhu yehlabathi', 'Imephu yendlela', 'Imephu yentsimbi']	D	high_school_geography	C) Imephu yendlela
146	kwezi, imephu esebenzisa isikeyile semephu encinane ingayimephu ye	['yehlabathi', 'ye-Antlanta, Georgia', 'yesitalato esingundoqo,idolophu encinane,Ohio', 'Pennsylvania.']	A	high_school_geography	A) yehlabathi
147	Umda wangaphambili owenziwa ngaphambili ngobunono bolwazi bejografi kunye  nokwenziwa kwemephu kwaziwa ngokuba	['yi-antasendenti bhawundari', 'yijiyometrikhi bhawundari', 'yi-relikthi bhawundari', 'yi-subsikhwenti bhawundari']	A	high_school_geography	C) yi-relikthi bhawundari
148	Ngomphi kule misebenzi ilandelayo engesosiseko secandelo lengqesho? 	['yi-njineli yesofutiwe', 'F-10 phiki aphu asembuli-liyini wekha.', 'Umsebenzi wokucoca i-oyile', 'Umlindi wendawo yokupaka']	D	high_school_geography	B) F-10 phiki aphu asembuli-liyini wekha
149	Ngomphi kule ilandelayo imibandla oyi-subsisistenisi ye-agrikhaltsha itshintswa sisikeyile esikhulu sophuhliso lwezorhwebo?	['i-Swiss Alps', 'i-Bheyisin Ameyizini', 'Umntla Afrika', 'yi-Alaskan tundra']	B	high_school_geography	B) i-Bheyisin Ameyizini
150	Intshukumo engamandla kuzo zonke iinkolo ibizwa ngokuba	['yi-Setyhularizim', 'yi-hithenizim', 'yi-sekrileji', 'Bubuzwe']	A	high_school_geography	B) yi-hithenizim
151	Imibandla yabelana ngazo zonke  ezi mpawu NGAPHANDLE	['kwemida', 'iimpawu ezifanayo', 'kwe-relathivu lokheyishini', 'kokucoceka lula']	D	high_school_geography	A) kwemida
152	Ngomphi oyena ndoqo wemibutho wokuqukuqela abangeneleli ungachanekanga?	['yi-Pioneer settlement ukuya kunyamaka wama1870-iiGerman, British, Scotch-Irish kunye namaAfrika', 'iminyaka yama1870 ukuya kowama1914-ama-Asia', 'ngonyaka wama1870-kunye-1914 Impuma kuny Nomntla Europe', 'unyaka wama1965-prezent-Hispanics']	B	high_school_geography	A) yi-Pioneer settlement ukuya kunyamaka wama1870-iiGerman, British, Scotch-Irish kunye namaAfrika
153	Yeyiphi ingxelo engezantsi eneempawu ezininzi zesixeko ese-Afrika?	['Babeendawo zokuhlala ezikhulayo nezicocekileyo ', 'Kukho imisebenzi kakhulu yabafudiki emakhaya ukuya ezidolophini', 'Banezithile zoshishino ezintathu ezahlukeneyo ', 'Baneziseko zophuhliso eziphuhliswe kakuhle.']	C	high_school_geography	B) Kukho imisebenzi kakhulu yabafuduki emakhaya ukuya ezidolophini
154	Leliphi lizwe elijonenge nengxaki engamandla yokusilela kwezorhwebo ngenxa yendawo ekuyo?	['yi-Singapore', 'yi-Italy', 'E-Spain', 'yi-Mangolia']	D	high_school_geography	D) yi-Mangolia
155	Yeyiphi indawo yeBurgess egxile kwindawo emodeli apho ubani angafumana izindlu ezingcono, indlu yosapho olunye, kunye nezindlu ezinerenti ephezulu?	['Okokuqala', 'Okwesibini', 'Okwesithathu', 'Okwesine']	C	high_school_geography	B) Okwesibini
156	iIthiyori ephuhliswa ngezoqoqosho luluntu ngokwezigaba ezintlanu zephatheni yokukhula efaniswa ne	['ku-Rostow', 'ku-Ravenstein', 'ku- von Thunen', 'ku-Burgess']	A	high_school_geography	A) ku-Rostow
157	Yeyiphi kwezi zilandelayo ENGENO kuqatshelwa njengomqobo ekusasazweni kwempawu zenkcubeko?	['Ulwimi', 'Inkolo', 'Iilwandle', 'ukunyamezela iyahambelana nabemi']	D	high_school_geography	A) Ulwimi
158	Inkqubo yohlaselo kunye nolandelelano yinkqubo ebandakanya imfuduko kwaye ichazwa ngokuchanekileyo xa	['Abemi abatsha batshabalalisa kwaye baphinde bokhe uyunitsi zezindlu', 'abahlali abatsha bahleli ngoxolo kwiindawo zokuhlala ezindala', 'abahlali abatsha bayaqondana nabahlali abadala ngokugqibeleleyo ', 'abahlali abatsha baya kwiindawo ekuhlala kuzo iqela labantu abadala.']	D	high_school_geography	A) Abemi abatsha batshabalalisa kwaye baphinde bokhe uyunitsi zezindlu
159	Yeyiphi kwezi zilandelayo echaza ngokuthe gca iFunction region?	['Imephu ibonakalisa i-Atlanta njenge- hubhu yeeDeltha yee-Airline', 'Inqaku lichaza indawo ekhankanywe ngenjeSouth.', 'Imephu ebonakalisa amazwe alikhulu aseMantla eCaroline', 'Isincoko esisicacisa indawo eyaziwa njengeBhanti leBhayibhile']	A	high_school_geography	A) Imephu ibonakalisa i-Atlanta njenge- hubhu yeeDeltha yee-Airline
160	Ukuvulwa kweevenkile  ezininzi kumdibaniso weevenkile omkhulu kuveza eyiphi ingcinga?	['Ikhonsepthi yeGravity', 'I-distensi dikheyi', 'Ehambelanayo', 'I-Muvumenti bhayasi']	D	high_school_geography	C) Ehambelanayo
161	Ukudalwa kweedoophu nabasebenzi abaphucukileyo eEurope kubene galelo ekuqaleni kwe	['Ukuguqulwa kwezolimo kokuqala', 'Ukuguqulwa kwezolimo kwesibini', 'Ukuguqulwa kwezolimo kwesithathu', 'Ukuguqulwa kwezolimo kwesine']	B	high_school_geography	B) Ukuguqulwa kwezolimo kwesibini
162	Yeyiphi kwezi zilandelayo ingxelo echanekileyo engokuphucuka kommandla iEast Asia?	['IJapan iinezibonelelo zendalo ezichumileyo', 'I-China ayinazo izibonelelo zendalo kodwa inomkhosi wabaasebenzi omkhulu', 'I-China inoshishino ngokukhawuleza', 'ITaiwan alinayo imveliso yeshishin kunye nabasebenzi abafundileyo']	C	high_school_geography	C) I-China inoshishino ngokukhawuleza
163	Yeyiphi kwezi zilandelayo ingxelo echaza ngokuthe gca izizwe ezimanyeneyo?	['yi-UN esebenza kumkhosi wamapolisa kwihlabathi liphela', 'IMemba yestayithi inikela isoveriyethi kwi-UN', 'Imithetho yehlabathi ebekwe yi-UN', 'I-NU yenza ungenelelo rhoqo kwiingxabano zehlabathi']	D	high_school_geography	C) Imithetho yehlabathi ebekwe yi-UN
164	Kule ilandelayo ngowuphi ummandla osesikweni?	['yiDixie', 'yiPennsylvania ', 'Yindawo yemakethe yeWinn-Dixie', 'yiPhasifikhi yaseNorthwest']	B	high_school_geography	A) yiDixie
165	Ukugxila kwimisebenzi yemveliso kunye nabantu okuyinzuzo eluntwini lonke kubizwa nge	['Ukutshintshwa komgaqo', 'yiDeglomereyiashini', 'yiAglomereyishini', 'iziseko zophuhliso']	C	high_school_geography	C) yiAglomereyishini
166	Loluphi ulwimi losapho oluqulathe isiTaliyani, iSipanish, iSiphuthukezi kunye nesiRomani?	['Sisi-Europhiyeni', 'Sisi-Slavikhi', 'Sisi-Jemeni', 'Sisi-Romani']	D	high_school_geography	D) Sisi-Romani
167	I-Ankari, Turkey kunye ne Islamabad, Pakistan zonke yimizekelo ye	['yezixeko zaseNtlango.', 'yefowadi-thrust khaphitalizi', 'ye-old coloniyal khapitali', 'yi-rivali yezixeko']	B	high_school_geography	B) yefowadi-thrust khaphitalizi
168	Yeyiphi kwezi zilandelayo engengo mzekelo weSyncretism?	['yi-Halowini', 'Indlela yokupheka eForeyini  yatshintsha ukonelisa ukungcamla kwase-America', 'yi-Hisidikhi Judaism', 'yi-Katholikhi eLouisiana']	C	high_school_geography	D) yi-Katholikhi eLouisiana
169	I-Thiyori ethi nabani okhewalawula umhlaba eEurope angalawula ehlabathini ibizwa nge	['Ngethiyori yokunikezelwa kwamagunya', 'Ithiyori yedomino', 'ummindi wethiyori', 'ithiyori yerimlendi']	C	high_school_geography	B) Ithiyori yedomino
170	Leliphi iqela elimele iPersian(ama- Iranian) umahluko we-Islam kwaye bakholelwa ekungenzini mpazamo kunye nelungelo elipheleleyo likaThixo ekulawuleni i-Imams ezivela kuAli?	['Yi-Sunni', 'yi-Shiite', 'yi-Inam', 'Ezingabambekiyo']	B	high_school_geography	B) yi-Shiite
171	Isiphumo sokuphinda phinda yi	['Kukongeza abasebenzi abangesosiseko kuqoqosho lwasedolophini olwengeze abasebenzi abaninzi abasisiseko.', 'umlinganisela wezoqoqosho wasebenzi abasedolophini ukuya kwabasemakhaya.', 'umlinganiselo wabasebenzi besixeko ukuya kubasebenzi basefama kwezoqoqosho.', 'ulongezo lemisebenzi yasemakhaya eyenziwe luqoqosho lasedolophini']	A	high_school_geography	B) umlinganisela wezoqoqosho wasebenzi abasedolophini ukuya kwabasemakhaya.
172	Incwadi engcwele yamaHindu ibizwa ngokuba yi	['yi-Talmud', 'yi-Bhayibhile', 'yi-Torah', 'yi-Veda']	D	high_school_geography	D) yi-Veda
173	Yeyiphi kwezi zilandelayo enophawu olwahlukileyo kwimpuma yesixeko se-Europe?	['yi-Paki esemmindini', 'zizindlu zenkolo ezi-Prominent', 'Isikwere esikhulu esiphakathi ezingqongwe zizakhiwe zikarhulumente nabaphathi', 'Izakhiwo ezikhulu zobunewunewu']	C	high_school_geography	C) Isikwere esikhulu esiphakathi ezingqongwe zizakhiwe zikarhulumente nabaphathi
174	Leliphi ilizwe kwalandelayo elizama ngokukhutheleyo ukuzama ukugcina ubunyulu bolwimi lwabo lwenkobe ekungcolisekeni sisiNgesi okanye ezinye lwimi?	['Yi-Italy', 'yi-Russia', 'yi-Japan', 'yi-Brazil']	C	high_school_geography	C) yi-Japan
175	Ngeyiphi kwezi zilandelayo engumzekelo woshishino l/okufumana ubuninzi	['iSteel', 'iJusi yeOrenji esebhotileni', 'Iphepha', 'iCopper']	B	high_school_geography	B) iJusi yeOrenji esebhotileni
176	Ngeyiphi kwezi zilandelayo ENGONGo mzekelo wophawu lokulungiswa kwamanye amazwe? 	['Ukuncitshiswa kwentlawulo kwizinto ezithunyelwayo', 'Impahla engekasilwa engeniswa simahla', 'Ngaphandle kwemisebenzi yamasiko', 'Imithetho engqongqo yongcoliseko']	D	high_school_geography	A) Ukuncitshiswa kwentlawulo kwizinto ezithunyelwayo
177	Ngeyiphi kwezi zilandelayo ENGEZIZO iimpawu zenyani zestayithi?	['Imihlaba ezimeleyo', 'Yaziwa kumazwe ngamazwe', 'Imida', 'Ulwimi lelizwekazi']	D	high_school_geography	B) Yaziwa kumazwe ngamazwe
178	Uceba ukuhamba kwidolophu yakho uye ePittsburgh. Endleleni, uyama eColumbus, eOhio ukuvakatshela isihlobo kwaye wasithanda isixeko! Ugqiba kwelokuba uhlale kwaye wenze i-Columbus ikhaya lakho elitsha. Le nto ingumzekelo we 	['Ithuba lokungenelela', 'Ukubola komgama', 'Ukufuduka ngokungathandi', 'Izinto ezityhala zitsala']	A	high_school_geography	A) Ithuba lokungenelela
179	Inowudi enkulu ye-ofisi kunye nomhlaba wezorhwebo zisebenzisa umphandle wombindi wesixeko esinemisebenzi emininizi kunabahlali yi (n)	['Ihlomela ledolophu', 'Isixeko esikhulu', 'Idolophu', 'Isixeko esisekupheleni']	D	high_school_geography	A) Ihlomela ledolophu
180	Sesiphi isityalo esaqala iRivolushini yesithathu yeZolimo?	['iRayisi', 'Ingqolowa', 'iBarley', 'iMillet']	A	high_school_geography	A) iRayisi
181	Ngomphi unobangela wekota yokugqibela eyonakalisa kakhulu iMpuma ye-Europe  kwaye eyabangela ingxabano yobuhlanga?	['Ukwaziswa kolwimi olutsha', 'Imfazwe yomlomo', 'Uhlaselo lwama russia', 'Ukwamnkelwa kwamazwe amaninzi asempuma europe kwi EU']	B	high_school_geography	B) Imfazwe yomlomo
182	Ukuba bendifuna ukuthumela icezwana lobucwebe bexabiso kumakazi ohlala ePoughkeepsie, loluphi uhlobo lwesithuthi endingalusebenzisa?	['Ilori', 'Umoya', 'Inqanawe', 'Umzila kaloliwe']	B	high_school_geography	C) Inqanawe
183	Yeyiphi kwezi zilandelayo engummandla osebenzayo?	['iDixie', 'iPennyslavania', 'Indawo yemarike ye Winn-Dixie', 'iPacific esemntla ntshona']	C	high_school_geography	A) iDixie
184	Loluphi uhlobo lwemodeli yesixeko equlethe indawo yokuhlala ecacileyo ngaphandle kwesixeko kwindlela ebanzi enkulu?	['yaseYurophu', 'iMuslim', 'UmAfrika wase sub-saharan', 'iLatin American']	D	high_school_geography	A) yaseYurophu
185	Loluphi ulona sapho izezabo iilwimi zase-Europe?	['i-Ural-Atlaic', 'iBasque', 'i-Indo European', 'iPhoenecian']	C	high_school_geography	C) i-Indo European
186	Zifana ngantoni iinkcazelo magama  ingcinezelo,ukubulawa kwabantu abaninzi, kunye nokudibanisa?	['Zonke zenzeka kwi Nazi Germany ngexesha lemfazwe yehlabathi', 'Zonke ziindlela zocalucalulo ngokokuhlala', 'Zonke ziindlela zokudibanisa amaqela abantu basebumelwanini', 'Ngamabinzana ahlukeneyo engqiqo efanayo.']	B	high_school_geography	D) Ngamabinzana ahlukeneyo engqiqo efanayo.
187	Yeyiphi ingxelo echaza abaphambukeli abahlala e-Europe ngokuchanekileyo? 	['Uninzi lubufumana lula ubumi kumazwe abambeleyo.', 'Abaphambukeli bama-Muslim abasuka eMntla Afrika badityinisiwe kakuhle eFrance', 'Abaphambukeli abaya kwizixeko zase-Europe kunqabile baze nosapho lwabo.', 'Ngamaxesha athile abavumelekanga kubamelwane abathile.']	D	high_school_geography	D) Ngamaxesha athile abavumelekanga kubamelwane abathile.
188	Zeziphi kwezi zilandelayo ezingeyomisebenzi yoshishino lwesibini?	['Ukudibanisa iinxalenye zeemoto', 'Iihempe zokuthunga', 'Ukumbiwa kwekopa', 'Iincwadi ezibophelelayo']	C	high_school_geography	B) Iihempe zokuthunga
189	johnny noSusie bafudukela eScotland beyohlaziya kwaye bahlale kwinqaba yekhaya. Yintoni eyenza intshukumo  imfuduko? 	['Bawela imida yelinye ilizwe.', 'Akukho nto bahamba nayo.', 'bahamba ngokusisigxina.', 'Baza kudlula ngaphezu konyaka omnye.']	C	high_school_geography	A) Bawela imida yelinye ilizwe.
190	Yeyiphi kula maqumrhu angeso sixeko?	['eAntarctica', 'Ama-Samoa aseMelika', 'E-Egypt', 'Isiqithi saseMashal']	C	high_school_geography	A) eAntarctica
191	Ngawaphi awona mafutha eFossil maninzi?	['Iphosphate', 'I-oyile', 'I-Petroleum', 'Amalahle']	D	high_school_geography	C) I-Petroleum
192	Ukwaliwa okanye ukohluka kwenkolo elizweni kubizwa nge	['uthixo omkhulu', 'i-animism.', 'ukungakhathali.', 'ukukholelwa kuThixo omnye.']	C	high_school_geography	D) ukukholelwa kuThixo omnye
193	Emva kwempucuko yorhwebo, yeyiphi kwezi zilandelayo ebonwa njenge yona ndyebo ibalulekileyo neyinyusayo imveliso?	['Amandla', 'Umsebenzi', 'Ulwazi', 'Ubungcali']	C	high_school_geography	C) Ulwazi
194	Isixeko esikhulu ngokuphindwa kabini njengesixeko esikhulu kakhulu kwilizwe sibizwa ngokuba	['isixeko sehlabathi', 'isixeko esiyinkokeli yehlabathi', 'I-megalopolis', 'isixeko esi-primate.']	D	high_school_geography	D) isixeko esi-primate.
195	Ilizwe ngalinye elinonxweme lolwandle linommandla woqoqosho okhethekileyo (EEZ) phantsi kweNgqungquthela ye-UN yoMthetho woLwandle. Yeyiphi kwezi nkcazelo zilandelayo malunga noMthetho woLwandle kunye ne-EEZ ayilungaga?	['I-EEZ inabela ukuya kuma kuma-200 eemayile zaselwandle (370 km) ukusuka elunxwemeni.', 'Amazwe anelungelo lokuxhaphaza ubutyebi bendalo kwi-EEZ yawo.', 'Amazwe anokusebenzisa ubutyebi obukwishelufa yelizwekazi ukuya kuthi ga kuma-350 eemayile zaselwandle (560 km) ngaphaya kwe-EEZ yawo.', 'Ilizwe alinalo ilungelo lokuxhaphaza izinto eziphilayo kwi-EEZ yalo.']	D	high_school_geography	A) I-EEZ inabela ukuya kuma kuma-200 eemayile zaselwandle (370 km) ukusuka elunxwemeni.
196	Yeyiphi koku kulandelayo esenokujongana noxinzelelo lwabemi?	['Uluntu lwemizi-mveliso olunemithombo yobutyebi yendalo eninzi kunye nokuthengwa kokutya okukhulu kwamanye amazwe', 'Uluntu olunecandelo lezolimo elinoomatshini abaphezulu', 'Umntu ongeyo-ecumene', 'Umbutho wezolimo wokusika nokutshisa']	D	high_school_geography	A) Uluntu lwemizi-mveliso olunemithombo yobutyebi yendalo eninzi kunye nokuthengwa kokutya okukhulu kwamanye amazwe
197	Inxalenye yomda phakathi kweUnited States neMexico yiRio Grande, umzekelo we	['umahluli wamanzi.', 'umlambo.', 'umda owenziweyo.', 'umda wendalo.']	D	high_school_geography	B) umlambo.
198	Xa sithetha ngokusasazeka kweempawu zenkcubeko, sithetha ukuthini ngokuthi “i-hearth”?	['Indawo ekuyiwa kuyo', 'Indawo yemvelaphi', 'Zonke iindawo ezisecaleni kwendlela yokusasaza', 'Indawo ye-axis']	B	high_school_geography	B) Indawo yemvelaphi
199	Umgama osemantla nakumazantsi e-ikhweyitha ngu	['inkqubo yegridi yehlabathi.', 'I-Prime Meridian', 'ububanzi.', 'ubude.']	C	high_school_geography	D) ubude.
200	Leliphi iLizwe elisebenzisa igunya ngokwesiqhelo malunga nolwaphulo-mthetho olwenziwa kwiinqanawa?	['Ilizwe lonxweme', 'Ilizwe leflegi', 'Onke amaZwe ayalunandipha ulawulo olunjalo', 'INkundla yaMazwe ngaMazwe yoMthetho woLwandle']	B	international_law	B) Ilizwe leflegi
201	Yeyiphi indlela uXanduva lokuKhusela (R2P) Olwahluke ngayo kungenelelo loluntu?	['I-R2P iyafana nongenelelo loluntu', 'I-R2P ifuna ukufowunelwa uncedo nguRhulumente osengxakini', 'I-R2P ayinamkhethe kuba ifuna igalelo le-UNSC kwaye eyona njongo iphambili kukunqanda ingxaki yoluntu.', 'I-R2P isoloko ibandakanya umkhosi oxhobileyo, ngelixa ukungenelela koluntu akwenzi']	C	international_law	C) I-R2P ayinamkhethe kuba ifuna igalelo le-UNSC kwaye eyona njongo iphambili kukunqanda ingxaki yoluntu.
202	Yintoni 'umgaqo weLotus'?	"[""Oko kubizwa ngokuba ngumgaqo weLotus kukuba 'izithintelo kukuzimela kwaMazwe azinakuthathwa ke ngoko', okanye, njengoko kuchazwa, 'nantoni na engathintelwanga ivunyelwe kumthetho wamazwe ngamazwe'"", 'Into ebizwa ngokuba ngumgaqo weLotus kukuba amazwe akhululekile ukukhetha iNkundla ukuba baya kungenisa iingxabano zabo', 'Into ebizwa ngokuba ngumgaqo weLotus kukuba amazwe awathintelwanga ukuba aqinisekise igunya lawo lokunyanzeliswa kulwandle oluphezulu.', 'Into ebizwa ngokuba ngumgaqo weLotus kukuba umthetho wesiNtu usuka kwindibaniselwano yenkqubo kaRhulumente kunye ne-opinio juris.']"	A	international_law	A) Oko kubizwa ngokuba ngumgaqo weLotus kukuba 'izithintelo kukuzimela kwaMazwe azinakuthathwa ke ngoko', okanye, njengoko kuchazwa, 'nantoni na engathintelwanga ivunyelwe kumthetho wamazwe ngamazwe'
203	Yeyiphi kwezi nkcazelo echaza ngcono uMgaqo-siseko wase-UK?	['Umgaqo-siseko wase-UK ekuphela komthombo wamandla ngulowo wongamileyo', 'UMgaqo-siseko wase-UK unika abenkundla amandla okubhukuqa izenzo zepalamente', 'Umgaqo-siseko wase-UK awukhokhwa kwaye unokufumaneka kwimithombo emininzi', 'UMgaqo-siseko wase-UK usekwe kuMqulu wamaLungelo']	C	international_law	C) Umgaqo-siseko wase-UK awukhokhwa kwaye unokufumaneka kwimithombo emininzi
204	Iyintoni imbophelelelo yokusonjululwa kwengxabano ngoxolo?	['Lunyanzeliso lwesiphumo, oko kukuthi, Amazwe aphantsi kwesibophelelo esingqongqo sokusombulula iingxabano zawo ngokukhawuleza.', 'Kusisinyanzelo sokuziphatha, okt Amazwe anesibophelelo sokuzama ukusombulula iingxabano zawo ngeendlela zoxolo. Oku akubandakanyi uxanduva lokusombulula iingxabano zabo', 'Yinto eqhelekileyo yomthetho wamazwe ngamazwe kwaye onke amaZwe anomdla osemthethweni wokukhusela isicelo sawo kuyo nayiphi na imbambano enikiweyo.', 'Luxanduva oluchaphazela kuphela iinkundla zamazwe ngamazwe kunye nenkundla']	B	international_law	B) Kusisinyanzelo sokuziphatha, okt Amazwe anesibophelelo sokuzama ukusombulula iingxabano zawo ngeendlela zoxolo. Oku akubandakanyi uxanduva lokusombulula iingxabano zabo
205	Yeyiphi kwezi nkcazelo zilandelayo ebubuxoki?	['Umgaqo-nkqubo we-14 watshintsha ikomiti emamela amatyala okuvuma ukusuka kwijaji ezintathu ukuya kwijaji enye.', 'Umgaqo-nkqubo we-14 wongeza inqobo entsha yokuvunyelwa', 'Umgaqo-nkqubo we-14 wabhangisa iKomishoni yamaLungelo oLuntu', 'Umgaqo-nkqubo we-14 wandisa ixesha lokuba sesikhundleni kweNkundla YaseYurophu Yamalungelo Abantu']	C	international_law	Umgaqo-nkqubo we-14 watshintsha ikomiti emamela amatyala okuvuma ukusuka kwijaji ezintathu ukuya kwijaji enye
206	Leliphi 'iliwa' phantsi kweNgqungquthela ye-UN yoMthetho woLwandle (i-UNCLOS)?	['Amawa ayi-ayilendi engaphantsi kwezikwere  ezili10 zeemayile', 'Amawa ayi-ayilendi engenawo ummandla wolwandle', 'Amawa ayi-ayilendi engenako ukugcina ukuhlala kwabantu okanye ubomi bezoqoqosho ngokunokwabo kwaye ngokwenqaku elingama-121(3) ayinayo ngokupheleleyo ummandla wezoqoqosho okanye i-continentali shelfu.', 'Amawa yi-ayilendi encinane enako ukugcina ukuhlala kwabantu']	C	international_law	C) Amawa ayi-ayilendi engenako ukugcina ukuhlala kwabantu okanye ubomi bezoqoqosho ngokunokwabo kwaye ngokwenqaku elingama-121(3) ayinayo ngokupheleleyo ummandla wezoqoqosho okanye i-continentali shelfu.
207	Iyintoni intsingiselo ye-international legal personality?	['Ithetha ukuthi ziziteyithi kuphela ezithathelwa ingqalelo ngenjeSubjects kumthetho wamazwe ngamazwe', 'Ithetha ukuba ukubanamalungelo  kunye noxanduva phantsi komthetho wamazwe ngamazwe kwaye umthamo wokubethelela ezi ngoku okanye ngokuchasene nesenzo esifanelekileyo', 'Ithetha ukuba isalathisi sombutho singawalwa amagunya esiteyithi.', 'Ligama elisetyenziselwa ukubonisa isemthethweni,ngokuchaseneyo,umntu ngokomzimba phantsi komthetho wamazwe ngamazwe.']	B	international_law	B) Ithetha ukuba ukubanamalungelo  kunye noxanduva phantsi komthetho wamazwe ngamazwe kwaye umthamo wokubethelela ezi ngoku okanye ngokuchasene nesenzo esifanelekileyo
208	Yeyiphi kwezi ilandelayo indlela yamalungelo oluntu esekwe kwisivumelwano?	['Yi-UN ikomiti yamalungelo wabantu.', 'Yi-UN iBhunga lamalungelo wabantu', 'Yi-UN umphononongi waxesha athile jikelele', 'Yi-UN izigunyaziso ezizodwa']	A	international_law	B) Yi-UN iBhunga lamalungelo wabantu
209	I-UN Vienna Declaration 1993 yabhengeza ukuba	['Amalungelo esithathu jikelele yi-primary imprtance', 'Amalungelo oluntu kune nawezopolitiko  angamalungelo angundoqo', 'Zonke iintlobo zamalungelo azinokwahlulwa,zinxulumene kwaye zixhomekeke kwamanye.', 'Amalungelo oluntu kunye nawezoqoqosho akanyazelekanga']	C	international_law	C) Zonke iintlobo zamalungelo azinokwahlulwa,zinxulumene kwaye zixhomekeke kwamanye.
210	Ngowuphi owona mthombo uphambili wokhuseleko ngokubhekiselele kwimibutho yamazwe ngamazwe (IOs)?	['Umthombo ophambili wokhuseleko weIOs yi-UN Charter', 'Umthombo ophambili wokhuseleko zizivumelwano zeehedikota kwaye i-multilateral treaties i-provayida ukhuseleko olungqalileyo.', 'Umthombo ophambili wokhuseleko weIOs ngumthetho wesintu', 'Umthombo ophambili wokhuselo we-IOs yi viyena conveshini kwi diplomathikhi immunities']	B	international_law	B) Umthombo ophambili wokhuseleko zizivumelwano zeehedikota kwaye i-multilateral treaties i-provayida ukhuseleko olungqalileyo.
211	Ingaba kukho kukhoi na ukulawulwa okanye okuxabiseka ngaphezului kuMazwe phantsi komthetho wamazwe ngamazwe?	['Ewe,iziteyiti ebezingalungu wefounding weUnited kindom banikwa amandla kakhulu kunye negunya', 'Ewe, Amalungu amaHlanu Asisigxina weUN', 'Hayi, onke amaZwe ajongwa alinganayo njengaMazwe azimeleyo (umgaqo wolingano oluzimeleyo, obhalwe kwinqaku lesi-2, isitanza soku-1 se-UN Charter)', 'Ukuba kuya kubakho nabuphi na ubunkokeli phakathi kwaMazwe ngumbandela wombutho ngamnye wezizwe ngezizwe oza kuthatha isigqibo']	C	international_law	C) Hayi, onke amaZwe ajongwa alinganayo njengaMazwe azimeleyo (umgaqo wolingano oluzimeleyo, obhalwe kwinqaku lesi-2, isitanza soku-1 se-UN Charter)
212	Yintoni i-declaratory theory of recognition?	['Ukwamkelwa kumiselwe ubukho belizwe', 'Ukwamkelwa kukubhengeza nje ubume belizwe kodwa akumiselwanga', 'Ukuqondwa kukubhengeza nje umdla', 'Ukuqondwa kufuna isibhengezo seLizwe elisandula ukudalwa']	B	international_law	B) Ukwamkelwa kukubhengeza nje ubume belizwe kodwa akumiselwanga
213	"Yintoni umsebenzi ""wokumisela umgangatho kwidiplomacy yamalungelo oluntu?"	['Ukumisela umgangatho kuthetha ukubeka phambili imigangatho esemthethweni ebophelelayo', 'Ukumiselwa komgangatho kuthetha nje ukucebisa imigangatho yomthetho ebophelelayo', 'Ukumisela umgangatho kuthetha ukubeka phambili imigangatho yomthetho engabopheleliyo', 'Ukumisela imigangatho kuthetha ukumisela imigangatho ethile yokuziphatha kwizivumelwano zamalungelo oluntu']	C	international_law	A) Ukumisela umgangatho kuthetha ukubeka phambili imigangatho esemthethweni ebophelelayo
