Unnamed: 0,question,choices,answer,subject,llm,accuracy
148,Nwuma a ԑdi soɔ yi mu dԑn na ԑwɔ adwumayԑ fa a ԑnnyԑ fapem,"['Abԑԑfo mfiedie ho dwumayԑfoɔ', 'F-10 hyɛn kɛseɛ a ɛfa ade nkasiani dwumayɛfoɔ', 'Fango nsɛnesoɛ dwumayɛfoɛ', 'Deɛ ɔhwɛ hyɛn gyinabea so']",D,high_school_geography,B) F-10 hyɛn kɛseɛ a ɛfa ade nkasiani dwumayɛfoɔ,0
149,Mantam a ԑdi soɔ yi mu bԑn na dwadie nsԑm kankɔ ԑԑbesi kuayԑ nketewa anan mu?,"['Swiss mbepow no', 'Amazon nsumena no', 'Afrika Atifi afam', 'Alaska awɔ asaase no so']",B,high_school_geography,B) Amazon nsumena no,1
150,Sԑ wɔretwe wɔnho dendenden efiri ԑsom nyinaa ho no de sԑn?,"['Wiasesԑm', 'Abosomsom', 'woogu biibi ho fi', 'ɔman ho ahohoahoa']",A,high_school_geography,A) Wiasesԑm,1
151,Mantam nyinaa kyԑ saa su yi GYE SԐ,"['Ahyeԑ', 'nsɛsoɔ a obiara wɔ', 'beaeɛ a ɛben baabi foforɔ ho', ""wombrɛ na w'akyerɛ aseɛ""]",D,high_school_geography,C) beaeɛ a ɛben baabi foforɔ ho,0
152,U.S atubra kwan pɔtee ntotoho yi a ԑdi soɔ yi mu bԑn na ԑnnyԑ nokorԑ?,"['Asetena a ԑdi kan kosi 1870, Germanfoɔ, Engrisifoɔ, ScotchɛIrishfoɔ, Afrikafoɔ', '1870–1914– Asiafoɔ', '1870–1914– Atɔeɛ ne Anaafoɔ Europefoɔ', '1965–ɛnne mmerɛ mu – Hispanicfoɔ']",B,high_school_geography,C) 1870–1914– Atɔeɛ ne Anaafoɔ Europefoɔ,0
153,Nsԑm a ԑwɔ aseԑ ha yi bԑn na ԑnnyԑ su bi a ԑwɔ Afrika nkuro mu?,"['Wɔwɔ mantam a ԑkɔ nkan na ahonedie nso wɔ mu', 'Adwuma bebree wɔ hɔ ma ntubrafoɔ a wɔfri nkuraseɛ ɛɛba kuro kɛseɛ mu', 'Wɔwɔ nnwuma mpotam mmiԑnsa soronko', 'Wɔwɔ nhyehyɛeɛ a atu mpɔn']",C,high_school_geography,B) Adwuma bebree wɔ hɔ ma ntubrafoɔ a wɔfri nkuraseɛ ɛɛba kuro kɛseɛ mu,0
154,Ͻman bԑn na ɔnnya mfasoɔ keseԑ wɔ dwadie mu esiane beaeԑe a ԑwɔ?,"['Singapore', 'Italy', 'Spain', 'Mongolia']",D,high_school_geography,A) Singapore,0
155,"Wɔ ɔfa bԑn wɔ Burgess kanko beaeԑe nhwԑsoɔ yi na baako bԑhu adan papa, ankonam abusua adan, anaa sԑ adan a wɔde han a ne boɔ wɔ soro paa?","['Deԑ ԑdi kan', 'Deԑ ԑtɔ so mmienu', 'Deԑ ԑtɔ so mmiԑnsa', 'Deԑ ԑtɔ so nnan']",C,high_school_geography,C) Deԑ ԑtɔ so mmiԑnsa,1
156,Adwenkyerԑ a ԑse nipakuo biara nyini wɔ sikasԑm mu wɔ ԑnyini ho anammɔn-num nhwԑsoɔ no firi hwana hɔ,"['Rostow.', 'Ravenstein.', 'von Thünen.', 'Burgess.']",A,high_school_geography,C) von Thünen,0
157,Deԑ ԑdi soɔ yi mu bԑn na w’ɔnfa no sԑ akwansideԑ ma amammerԑ su nterԑeԑ?,"['Kasa', 'Ԑsom', 'Ԑpo', 'Temanmufoɔ a wɔgye nipa']",D,high_school_geography,C) Ԑpo,0
158,Ͻkwan a nipa bi bԑtu aba nipa foforo bi man so na w’abԑdi wɔn adeԑ yԑ ԑkwan a ԑfa ntubra ho na wɔbԑtumi akyerԑ mu yie sԑ,"['Wɔn a wabԑtena hɔ foforo no bԑbubu na wasi adan', ""wɔn a w'aba foforɔ no tumi ne wɔn a wɔwɔ hɔ deda no tena asomdwoeԑ mu "", ""wɔn a w'aba foforɔ no tumi de wɔnho fra wɔn a wɔwɔ hɔ deda no yie "", ""wɔn a w'aba foforɔ no tu kɔtena mmeaeɛ a wɔn a wɔwɔ hɔ deda no te""]",D,high_school_geography,B) wɔn a w'aba foforɔ no tumi ne wɔn a wɔwɔ hɔ deda no tena asomdwoeԑ mu,0
159,Deԑ ԑdi soɔ yi mu bԑn na ԑkyerԑ nkyerԑmu a ԑwɔ mantam a ԑyԑ adwumu?,"['Akyerԑkyerԑkwan a ԑkyerԑ Atlanta sԑ beaeԑ a Delta Airlines di dwuma', 'Nsԑmtwerԑ a ԑkyerԑ beaeԑ a ɔfrԑ no Anaafoɔ no', 'Akwankyerԑadeԑ a ԑkyerԑ Carolina Atifi Afam aman ɔha no', 'Krataatwerɛ a ɛkyerɛ beaeɛ a wɔfrɛ noTwerɛ kronkron Abɔsoɔ no']",A,high_school_geography,A) Akyerԑkyerԑkwan a ԑkyerԑ Atlanta sԑ beaeԑ a Delta Airlines di dwuma,1
160,Adetɔnbea afoforɔ a ԑbue wɔ dwam kԑseԑ ano no kyerԑ nteԑaseԑ bԑn?,"['Ahoɔden a ԑtwe nneԑma bԑn wɔnho adwenkyerԑ', 'Kwan ntam porɔeɛ', 'Aboafoɔ', 'Anamɔntuo ntɛnkyea']",D,high_school_geography,A) Ahoɔden a ԑtwe nneԑma bԑn wɔnho adwenkyerԑ,0
161,Kuro akԑseԑ adwumayԑkuo wɔ Europe awoɔ no de dԑn ho mfitiaseԑ na ԑbaaԑ,"['Akuayԑ Nsesaԑ a edi kan', 'Akuayԑ Nsesaԑ a ԑtɔ so mmienu', 'Akuayԑ Nsesaԑ a ԑtɔ so mmiԑnsa', 'Akuayԑ Nsesaԑ a ԑtɔ so nnan']",B,high_school_geography,B) Akuayԑ Nsesaԑ a ԑtɔ so mmienu,1
162,Asԑm a ԑdi soɔ yi mu bԑn a ԑfa Asia Atɔԑ afam adwumayԑ mantam no na ԑyԑ nokawre?,"['Japan wɔ deԑ efiri abɔdeԑ mu mmoano a ԑdi mu', 'China nni abɔdeԑ mu nneԑma nanso wɔwɔ nipadɔm a ԑtumi yԑ nsano nnwuma', 'China de mfidiennwuma bebree ԑԑba hɔ ntԑmntԑm', ""Taiwan nni  mfidiennwuma nnwumakuo ne adwuamayɛfoɔ a w'akɔ sukuu""]",C,high_school_geography,B) China nni abɔdeԑ mu nneԑma nanso wɔwɔ nipadɔm a ԑtumi yԑ nsano nnwuma,0
163,Asԑm a ԑdi soɔ yi mu bԑn na ԑkyere Amanaman Nkabom kuo no ase yie?,"['UN no wɔ apolisifoɔ kuo a ԑwɔ wiase nyinaa', 'wɔn a wɔka kuo no ho gyaa wɔn tumidie mu ma UN no', 'UN hyɛ wiase mmara mu kena', 'UN no tae de wɔnho gye wiase ntɔkwa mu']",D,high_school_geography,B) wɔn a wɔka kuo no ho gyaa wɔn tumidie mu ma UN no,0
164,Deԑ ԑdi soɔ yi mu bԑn na ԑyԑ mantam a w’agye atomu?,"['Dixie', 'Pennsylvania', 'Winn Dixie dwam', 'Pacific Atifi Apueɛ afam']",B,high_school_geography,D) Pacific Atifi Apueɛ afam,0
165,Sԑ wɔɔboa ndwuma adeyԑ nyinaa ano ne nipa ntam kwan na ԑho aba mfasoɔ ama oibara no de sԑn,"['Nsiananmu gyidie fapem', 'Nneɛma ntetemu', 'Nneɛma nkabom', 'adansie']",C,high_school_geography,C) Nneɛma nkabom,1
166,"Kasa abusua bԑn na ԑwɔ Italy, Spain, Portugal ne Romania foɔ kasa?","['Europeni', 'Slavic', 'Germanic', 'Romance']",D,high_school_geography,D) Romance,1
167,"Ankara, Turkey and Islamabad, Pakistan mmienu yi nyinaa yԑ nhwԑsoɔ ma","['Kuro a ԑwɔ serԑ so', ""Ahenkuro a ɛtu kɔ n'anim"", 'nkoayɛ berɛ ahenkuro deda ', 'Nkuro a ɛtwe kora']",B,high_school_geography,B) Ahenkuro a ɛtu kɔ n'anim,1
168,Deԑ ԑdi soɔ yi mu bԑn na ԐNNYԐ nhwԑsoɔ ma ɔkwan a ɔfaso ka gyidie ne adwene ahoroɔ bɔ mu?,"['Halloween', ""Ahɔhoɔ aduane a w'asesa no sɛneɛ Amerikafoɔ kɔn bɛdɔ"", 'Hasidic Judaism', 'Katolik som wɔ Louisiana']",C,high_school_geography,B) Ahɔhoɔ aduane a w'asesa no sɛneɛ Amerikafoɔ kɔn bɛdɔ,0
169,Adwenekyerԑ a ԑbaa sԑ nipa biara a na ɔwɔ tumi wɔ Europe asaase so na ɔbԑdi wiase so no de sԑn?,"['Tumi a efiri nipa kԑseԑ kɔ nipa ketewa hɔ adwenekyerԑ', 'nneɛma ntoatoasoɔ ho adwenkyerɛ', 'heartland adwenkyerɛ', 'rimland adwenekyerɛ']",C,high_school_geography,C) heartland adwenkyerɛ,1
170,Kuo bԑn na ԑgyina hɔ ma Persia (Iran) nsonsonoeԑ a ԑwɔ Nkramosom mo na wɔgye di sԑ tumi a ԑfri Onyankopɔn hɔ sԑ Imam no ԑnfom no yԑ wɔn a wɔyԑ Ali asefoɔ?,"['Sunni', 'Shiite', 'Imam', 'Deɛ wɔnfa wɔnsa nka wɔn']",B,high_school_geography,B) Shiite,1
171,Mmɔho nsunsuansoɔ no yԑ,"['Wɔde adwumayԑfoɔ a wɔnka fapem no ho bԑka kuro kԑseԑ a wɔde adwumayԑfoɔ a wɔka fapem no ho bebree aka ho', 'Ntotoho a ɛwɔ nkuraseɛ ne kurokɛseɛ adwumayɛfoɔ wɔ ɔman no mu', 'Ntotoho a ɛwɔ kurom adwumayɛfoɛ ne akuafoɔ wɔ ɔman no mu', 'Nkuraseɛ nnwuma a ebi abɛka ho esiane kurokɛseɛ sikasɛm mu']",A,high_school_geography,B) Ntotoho a ɛwɔ nkuraseɛ ne kurokɛseɛ adwumayɛfoɔ wɔ ɔman no mu,0
172,Hindufoɔ nnwoma kronkron no de sԑn,"['Talmud.', 'Nyame Asem', 'Torah.', 'Veda.']",D,high_school_geography,D) Veda.,1
173,Deԑ ԑdi soɔ yi mu bԑn na ԑyԑ su soronko bi a ԑwɔ Europe Atɔԑ fam kuro?,"['Agodibea a ԑwɔ mfimfini', 'Ԑsom dan a ɛyɛ okukudam', 'Ahinanan kɛseɛ a ɛwɛ mfimfini na aban ne ntotoɛ adan atwa ho ahyia', 'Mfie a nebo ɛyɛ den']",C,high_school_geography,C) Ahinanan kɛseɛ a ɛwɛ mfimfini na aban ne ntotoɛ adan atwa ho ahyia,1
174,Aman a ԑdi soɔ yi mu bԑn na ԑԑbɔ mmɔden paa sԑ wɔbԑbɔ wɔn kasa ne ho ban efiri nkekaԑ biara a Engrisi anaa sԑ kasa foforo biara de bano?,"['Italy', 'Russia', 'Japan', 'Brazil']",C,high_school_geography,B) Russia,0
175,Deԑ ԑdi soɔ yi mu bԑn na ԑyԑ nhwԑsoɔ ma adwuma a n’adwadeԑ no kɔ soro yie?,"['apagyadeɛ', 'Ankaa nsa a ɔde agu toa mu', 'krataa', 'kɔbere']",B,high_school_geography,B) Ankaa nsa a ɔde agu toa mu,1
176,Deԑ ԑdi soɔ yi mu bԑn na ԑnnyԑ su bi a ԑwɔ Nneԑma-maneԑ nhyehyԑeԑ beaԑe (EPZ)?,"[""Neԑma kra ho sika tua a w'ate so"", ""Abɔdeԑ mu nneԑma a w'akra a w'antua ho sika na w'ayi"", ""Nneԑma a ԑtra hyeԑ bi ho sikatua a w'ayi efiri mu"", ""Fiiyɛ mmara a w'ahyɛ no ketee""]",D,high_school_geography,B) Abɔdeԑ mu nneԑma a w'akra a w'antua ho sika na w'ayi,0
177,Deԑ ԑdi soɔ yi mu bԑn na ԑnnyԑ su a ԑyԑ nokorԑ fa ɔman ho?,"['beaeɛ a ɛde neho', 'amanaman nyinaa gye to mu', 'Ahyeɛ', 'ɔman kasa']",D,high_school_geography,C) Ahyeɛ,0
178,"Woreyԑ w’adwene sԑ woretu efiri wo kurom akɔ Pittsburg. Wɔ kwan no so no, wogyinaa wɔ Columbus, Ohio sԑ worekɔsra w’abusuani na wote hwee kuro ne dɔ mu! Woyԑ w’adewne sԑ wo bԑtena hɔ na wode Columbus ayԑ wo kuro foforɔ. Yei yԑ nhwԑsoɔ ma","['Akwanya a ɛbesi mu', 'Kwan ntam porɔeɛ', 'Ntubra a ɛnfiri ɔpɛ mu', 'mpia ne ntweɛ adeɛ']",A,high_school_geography,B) Kwan ntam porɔeɛ,0
179,Dwumadiebea a aboa ano wɔ faako ne asaase a wɔde di dwa a enni kurom mfimfin na nnwuma bebree wɔ hɔ kyԑn temanmufoɔ no yԑ,"['Kuro ketewa', 'Kuro a edi kan', 'Kuro', 'Kuro a ɛwɔ ano']",D,high_school_geography,C) Kuro,0
180,Nnɔbaeԑ bԑn na ԑhyԑԑ Kuayԑ Nkanyan a ԑtɔ so mmiԑnsa no ase?,"['ɛmo', 'Ayuo', 'Atokoɔ', 'Kɔkɔte']",A,high_school_geography,B) Ayuo,0
181,Adeԑ bԑn wɔ afeha no nkyԑmu nan a etwa toɔ no mu na ԑhinhim Europe Atɔԑ afam fapem no na ԑde abusuakuo ntokwa bebree baaԑ?,"['Kasa afoforɔ a wɔde aba mu', 'Ɔko a ɛyɛ nwunu no awieɛ', 'Sovietfoɔ no bɔ wuraa mu no', 'Ɔgyee Europe atɔeɛ aman baa EU no mu']",B,high_school_geography,C) Sovietfoɔ no bɔ wuraa mu no,0
182,"Sԑ mepԑsԑ medԑ agudeԑ bi a ԑsom bo paa mane me sewaa a ɔte Poughkeepsie a, ɔkwan a ɔfaso tu kwan bԑn na nyansa wɔ mu paa?","['Hyɛn kɛseɛ', 'Wiam', 'suhyɛn', 'Keteke kwan']",B,high_school_geography,C) suhyɛn,0
183,Deԑ edi soɔ yi mu dԑn na ԑyԑ mantam a ԑyԑ dwuma?,"['Dixie', 'Pennsylvania', 'Winn-Dixie dwam', 'Pacific Atifi Apueɛ afam']",C,high_school_geography,B) Pennsylvania,0
184,Kuro nhwԑsoɔ sԑso bԑn na ԑwɔ beaԑe a nnipa te soronko a ԑfiri mfimfini kɔ abɔnten na ԑfa kuro no kwantenpɔn kԑseԑ no so?,"['Europe ni', 'Nkramoni', 'Sahara-Aseɛ Africa ni', 'Latin Amerika ni']",D,high_school_geography,C) Sahara-Aseɛ Africa ni,0
185,Abusua bԑn na Europe kasa bebree no ka ho?,"['Ural-Altaic', 'Basque', 'Indo-Europefoɔ', 'Phoeniciafoɔ']",C,high_school_geography,C) Indo-Europefoɔ,1
186,"Nsԑm a ԑde apartheid, ethnic cleansing ne nkabom nyinaa wɔ?","['No nyinaa siiɛ wɔ Nazi Germany wɔ Wiase Ntoka I no mu', 'No nyinaa yɛ ntenaseɛ mu ntetemu', 'No nyinaa yɛ kwan a wɛde nipakuo ahodoɛ bɛ bɛmu wɛ mantam baako mu', 'No nyinaa nkyerɛaseɛ ahodoɔ a ɛka asɛm koro no ara']",B,high_school_geography,D) No nyinaa nkyerɛaseɛ ahodoɔ a ɛka asɛm koro no ara,0
187,Nsԑm a ԑwɔ aseԑ ha na ԑkyerԑ atubrafoɔ a wɔte Europe ase yie?,"['Bebree no ara mbrɛ sɛ wɔbɛtumi abɛyɛ temanmufoɔ wɔ aman a ɔgye wɔn no mu', 'Ntubrafoɔ a wɔyɛ Nkramofoɔ firi Afrika Atifi afam no de wɔnho ahyɛ France mu yie paa', 'Ntubrafoɔ a ɛba Europe nkuro no ntae mfa wɛn abusua mba', 'Wɔtae ka hyɛ wɔ mantam bi mu']",D,high_school_geography,A) Bebree no ara mbrɛ sɛ wɔbɛtumi abɛyɛ temanmufoɔ wɔ aman a ɔgye wɔn no mu,0
188,Nnwuma a ԑdi soɔ yi mu bԑn na ԐNNYԐ sikasԑm nnwuma a ԑtɔ so mmienu?,"['Hyɛn afa nkabomu', 'Atadeԑ pam', 'Kɔbere tuo', 'Nwoma nkabomu']",C,high_school_geography,B) Atadeԑ pam,0
189,Johnny ne Susie ԑretu akɔ Scotland akɔsiesie wɔn abusua abankԑseԑ no na w’atena mu. Dԑn na ԑma kwan a ɔretu yi yԑ ntubra?,"['Wɔtra ɔman foforɔ hyeɛ', 'Wɔnfa biribiara nka wɔnho nkɔ', 'Wɔretu efiri hɛɔ afebɔɔ', 'Wɔbɛfri hɔ akyɛ asene afe baako']",C,high_school_geography,C) Wɔretu efiri hɛɔ afebɔɔ,1
190,Deԑ ԑdi soɔ yi mu dԑn na ԑyԑ ɔman?,"['Antarctica', 'American Samoa', 'Egypt', 'Marshall Nsupɔ']",C,high_school_geography,C) Egypt,1
191,Fango a abu so paa no yԑ dԑn?,"['Phosphate', 'Ngo', 'Fango', 'Bidie']",D,high_school_geography,B) Ngo,0
192,Sԑ wɔbԑpo anaasԑ wɔnnya atenka biara mfa ԑsom who wɔ ɔman bi mu no de sԑn?,"['Nyankopɔn bebree som', 'Abɔdeɛ mu nneɛma som', 'Wiasesɛm', 'Nyankopɔn baako som']",C,high_school_geography,C) Wiasesɛm,1
193,"Wɔ ɔman a ԑwɔ adwumayԑ-akyiri no, adeԑ a ԑdi soɔ yi mu na wɔfa no sԑ deԑ ԑho hia paa a ԑde adwuma nkɔsoɔ ba?","['Ahoɔden', 'Nsano nnwumayɛ', 'Asɛm', ""wode w'ani ɛresi biribi pɔtee so""]",C,high_school_geography,A) Ahoɔden,0
194,Kuro a ne kԑseԑ no boro mmɔho mmienu kyԑn kuro a ne kԑseԑ no di soɔ wɔ ɔman bi mu no de sԑn,"['Amansan kuro', 'Wiase kuro panyin', 'Kuro kɛseɛ paa', 'Kuro a edi kan']",D,high_school_geography,B) Wiase kuro panyin,0
195,Ͻman biara a wɔwɔ mpoano biara wɔ sikasԑm mantam soronko bi a ne tiawa yԑ EEZ wɔ UN Nhyiamu a ԑfa mmara a ԑwɔ ԑpo ho. Deԑ ԑdi soɔ yi mu bԑn a ԑfa mmara a ԑwɔ ԑpo ho ne EEZ no na ԐNNYԐ nokorԑ?,"['EEZ no tra kɔsi ԑposo nsusudeԑ kwansini 200 (370 km) firi mpoano', 'Aman wɔ ho kwan sɛ wɔtu abɔdeɛ mu adeɛ a ɛwɔ EEZ no mu', ""Aman wɔ ho kwan sɛ wɔtu abɔdeɛ mu adeɛ a ɛwɔ asaasepɔn n'ano kɔ si ɛposo nsusudeɛ kwansini 350 (560 km) a ɛtra EEZ no"", 'Aman nni ho kwan sɛ wɔtu abɔdeɛ mu adeɛ a ɛwɔ EEZ no mu']",D,high_school_geography,A) EEZ no tra kɔsi ɛposo nsusudeɛ kwansini 200 (370 km) firi mpoano,0
196,Deԑ ԑdi soɔ yi mu bԑn na ԑbԑ tae ahu ɔhyԑ bi a ԑfiri nnipadom mu?,"['Mfidiedwuma nipakuo a ԑwɔ abɔdeԑ mu nneԑma bebree na wɔkra nnuane bebree', 'Nipakuo a wɔde mfidie yɛ kua paa', 'Beaeɛ a nipa dodɔoɔ nte', ""Kuay- nipakuo a wɔtwa a, na w'ahye""]",D,high_school_geography,A) Mfidiedwuma nipakuo a ԑwɔ abɔdeԑ mu nneԑma bebree na wɔkra nnuane bebree,0
197,"Hyeԑ a ԑda United States ne Mexico ne fa baabi no yԑ Rio Grande, nhwԑsoɔ ma","['Nsuo adekyԑmu', 'Baabi a nsuo fa', 'Hyeԑ a nipa na ayԑ', 'Hyeԑ a ԑwɔ abɔdeԑ mu']",D,high_school_geography,B) Baabi a nsuo fa,0
198,"Sԑ yԑkasa fa ammamerԑ su a ԑterԑ a, “hearth” aseԑ kyerԑ sԑn?","['Baabi a wookɔ', 'Baabi a wo firi', 'Mmeaeɛ a ɛwɔ kwan a ɛterɛ fa no so', 'Baabi a biribiara kɔ hyia ano']",B,high_school_geography,D) Baabi a biribiara kɔ hyia ano,0
199,Kwan a ԑda nsaneԑ a ԑda wiase no atifi ne anaafoɔ no yԑ,"['Wiase nyinaa nsaneԑ-nkabom nhyehyԑho', 'Wiase nsaneԑ a ԑda mfimfini', 'Wiase nsaneԑ a efiri nifa kɔ bankum', 'wiase nsaneԑ a efiri soro kɔ fam']",C,high_school_geography,A) Wiase nyinaa nsaneԑ-nkabom nhyehyԑho,0
200,Ͻman bԑn na ɔtae de asԑnnie a ԑfa amumuyԑ a ԑkɔso wɔ ahyԑn mu no di dwuma?,"['Ͻman a ԑwɔ mpoano', 'Frankaa man no', 'Aman nyinaa wɔ saa asennie tumi no kwan', 'Amanaman asɛnnibea ma mmara a ɛwɛ ɛpo ho']",B,international_law,C) Aman nyinaa wɔ saa asennie tumi no kwan,0
201,Ͻkwan bԑn so na Asodie a ԑfa bambɔ ho a ɔtwa no tia sԑ R2P no da nso firi ntamgyina a efiri nnipa ahummɔborɔ mu?,"['R2P ne nnipa ahummɔbro mmoa yԑ ade korɔ no a ne sa', 'R2P hia ɔfrɛ firi ɔman a neho akyere no sɛ wɔmboa no', 'R2P no ntuim nyɛ deɛ wɔpɛ yie fisɛ wɔhia UNSC no ahohyɛmu bi na ne botae paa ne sɛ wɔbe si atyerɛnkyɛm a ɛto nipa ho kwan', 'R2P no de asraa foɔ di dwuma, ɛberɛ a nnipa ahummɔbrɔ mmoa mfa ndi dwuma']",C,international_law,C) R2P no ntuim nyɛ deɛ wɔpɛ yie fisɛ wɔhia UNSC no ahohyɛmu bi na ne botae paa ne sɛ wɔbe si atyerɛnkyɛm a ɛto nipa ho kwan,1
202,Dԑn ne ‘Lotus nnyinasosԑm’ no?,"['Deԑ wɔfre no Lotus gyidie fapem no yԑ sԑ ‘wontumi mfa w’adwene mbu akwansideԑ a ԑwɔ aman a wɔde wɔnho no ho’, anaa, sԑneԑ w’ahyehyԑ noɔ no, “deԑ wɔmbraa no biara wɔ ho kwan wɔ amanaman mmara mu’', 'Deԑ wɔfre no Lotus gyidie fapem no yԑ sԑ aman wɔ ho kwan sɛ wɔfa asɛnnibea biara a wɔbedi wɔn asɛm', 'Deԑ wɔfre no Lotus gyidie fapem no yԑ sԑ aman nnin akwansideɛ bia sɛ wɔde mmara a ɛbɔ wɔn ɛpo ho ban no beddi dwuma', 'Deԑ wɔfre no Lotus gyidie fapem no yԑ sԑ ammaneɛ mmara firi ɔman no ne opinio juris nkabomu nkyɛn']",A,international_law,"A) Deԑ wɔfre no Lotus gyidie fapem no yԑ sԑ ‘wontumi mfa w’adwene mbu akwansideԑ a ԑwɔ aman a wɔde wɔnho no ho’, anaa, sԑneԑ w’ahyehyԑ noɔ no, “deԑ wɔmbraa no biara wɔ ho kwan wɔ amanaman mmara mu’",1
203,Nsԑm a ԑdi soɔ yi mu dԑn na ԑkyerԑ UK ɔmammara no ase yie?,"['UK ɔmanmmara no tumi farebae pԑ yԑ ɔhene no', 'UK ɔmanmmara no ma asɛnnibea no tumi sɛ ɔdane nneyɛ a wayɛ wɔ mmarahyɛbadwam', 'Wɔntwerɛɛ UK ɔmanmmara no wɔ faako na wobɛhu wɔ mmeaeɛ bebree', 'UK ɔmanmmara no gyina faahodie mmara no so']",C,international_law,C) Wɔntwerɛɛ UK ɔmanmmara no wɔ faako na wobɛhu wɔ mmeaeɛ bebree,1
204,Dԑn ne ɔhyԑ a ԑda asԑm nsiesieԑ a ԑnam asomdowoeԑ kwan so?,"['Ԑyԑ asodie a ԑwɔ aba a ԑbԑ so mu, ԑne sԑ, Aman no hyԑ asodie ketee bi ase sԑ wɔbesiesie mansotwe biara wɔ mmerԑ tiawa mu', 'Ԑyɛ asodie a ɛwɔ nneyɛ mu, te sɛ aman wɔ asodie sɛ wɔbɛsisie mansotwe wɔ aspmdwoeɛ kwan so. Yei nkyerɛ sɛ wɔwɔ asodie sɛ wɔbɛsisie wɔn mansotwe', 'Ԑyɛ mmara a ɛtwa biribiara to wɔ amanaman mmara mu na aman nyina wɔ mmaransɛm aniku sɛ wɔbɛbɔ kwan a wɔde yɛ adwuma no ho ban wɔ mansotwe biara mu', 'Ԑyɛ asodie a ɛfa amanaman asɛennibea ho nnkoa']",B,international_law,"A) Ԑyԑ asodie a ԑwɔ aba a ԑbԑ so mu, ԑne sԑ, Aman no hyԑ asodie ketee bi ase sԑ wɔbesiesie mansotwe biara wɔ mmerԑ tiawa mu",0
205,Nsԑm a ԑdi soɔ yi mu bԑn na ԑyԑ nkontompo?,"['Nhyehyԑeԑ 14 no sesaa kuo a wɔtena se tie nsԑm a yԑgyԑ to mu firi atemuafoɔ mmiԑnsa kɔ si ɔtemuafoɔ baako nhyehyԑeԑ', 'Nhyehyɛeɛ 14 no de ɔkwan a wɔde gye biribi to mu kaa ho', 'Nhyehyɛeɛ 14 no bɔɔ nipa faahodie kuo no guuɛ', 'Nhyehyɛeɛ 14 no de berɛ a Europe Asɛnnibea a wɔhwɛ nipa faahodie no tena akongua mu no bi kaa ho']",C,international_law,A) Nhyehyԑeԑ 14 no sesaa kuo a wɔtena se tie nsԑm a yԑgyԑ to mu firi atemuafoɔ mmiԑnsa kɔ si ɔtemuafoɔ baako nhyehyԑeԑ,0
206,Dԑn ne ‘ɔbotan’ a ԑwɔ UN Nhyiamu wɔ Mmara a ԑwɔ Ԑpo ho a ɔtwa no tiawa sԑ UNCLOS no ase?,"['Aboɔ yԑ supo a ne tԑtrԑtԑ no sua kyԑn kwansini ahanan 10', 'Aboɔ yԑ supo a ɛnii ɛposo mantam biara', 'Aboɔ yԑ supo a nipa ntumi ntena so anaa abrabɔ ho sikasem ɛntumi ɛnkɔso na wode toto ɔfa 121 (3) a, ɛnni ɛno nkoa sikasɛm mantam a ate ne ho anaasɛ asaasepɔn biara so', 'Aboɔ yԑ supo ketewa a nipa tumi ntena so']",C,international_law,"C) Aboɔ yԑ supo a nipa ntumi ntena so anaa abrabɔ ho sikasem ɛntumi ɛnkɔso na wode toto ɔfa 121 (3) a, ɛnni ɛno nkoa sikasɛm mantam a ate ne ho anaasɛ asaasepɔn biara so",1
207,Dԑn ne amanaman mmaransԑm su asekyerԑ?,"['Ԑkyerԑ sԑ aman pԑ na wɔfa no sԑ wɔn a wɔhyԑ amanaman mmara ase', 'Ԑkyerԑ sԑ wowɔ faahodie ne asɛdeɛ wɔ amanaman mmara ase na wowɔ akwanya sɛ deɛ ɛsɛsɛ ɔde yɛ adwuma no bɛtumi de adi adwuma ama ne ho anaa sɛ atia obi', 'Ԑkyerԑ sԑ kuo no bɛtumi ne aman no tumi no akɔ mpu ne mpu', 'Ԑyɛ asɛm bi a ɛkyerɛ mmaransɛm, na ɛnnyɛ nnipa a ɛhyɛ amanaman mmara ase']",B,international_law,B) Ԑkyerԑ sԑ wowɔ faahodie ne asɛdeɛ wɔ amanaman mmara ase na wowɔ akwanya sɛ deɛ ɛsɛsɛ ɔde yɛ adwuma no bɛtumi de adi adwuma ama ne ho anaa sɛ atia obi,1
208,Deԑ ԑdi soɔ yi mu dԑn na ԑyԑ nnipa faahodie nhyehyԑeԑ a ԑgyina apam so?,"['UN Nipa Faahodie agyinatukuo no', 'UN Nipa Faahodie kuo no', 'UN Nipa Wiase nyinaa tɔda nhwehwɔmu no', 'UN nnwuma soronko no']",A,international_law,B) UN Nipa Faahodie kuo no,0
209,UN Vienna Mpaemuka wɔ 1993 no paee mu kaa sԑ,"['Awoɔ ntoasoɔ mmiԑnsa  faahodie ho wɔ mfasoɔ a ԑsom bo', 'Nipa ntam ne amanyɔnsɛm faahodie yɛ faahodie a ɛyɛ fapem', 'Faahodie nyinaa yɛ adeɛ a wontumi nkyɛ mu, na aynkɔfam da ntam na ɛgyini wɔnho wɔnho so', 'Nipa ntam asɛm ne sikasɛm faahodie yɛ adeɛ a wontumi nhyɛ no ketee']",C,international_law,"C) Faahodie nyinaa yɛ adeɛ a wontumi nkyɛ mu, na aynkɔfam da ntam na ɛgyini wɔnho wɔnho so",1
